Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
359557.1716,68230.17114,4663.829053,180.7963792,428.5433278,25503.76131,38660.4265,479.1711526,77.39679456,19.857,37.492,20.355,53.086,4.693,16.818,4.61,0.125,4.805,0.9,6.304,1.207,3.695,0.603,3.997,0.614
354813.3018,69894.49754,10104.96295,359.8138627,781.7975996,29730.96464,38222.56931,655.6189902,231.0480974,27.185,39.20266667,18.21366667,55.29,3.684333333,14.30233333,3.548333333,0.139333333,4.594333333,0.861333333,6.56,1.405,4.348666667,0.645,4.581,0.675666667
258545.7318,88687.38075,58764.24607,25458.52449,53568.29276,26876.75298,10439.40272,7297.681262,1545.885623,901.777,22.656,27.962,63.835,7.873,31.595,6.213,1.515,4.879,0.699,4.44,0.875,2.387,0.345,2.295,0.326
270112.6071,86186.08815,50447.08425,21172.47431,46753.83639,24265.51781,17521.01243,6534.66298,1239.478453,806.307,23.247,20.875,47.059,5.813,24.845,4.739,1.398,4.725,0.72,4.266,0.842,2.378,0.337,2.335,0.354
310372.5751,82649.49725,36377.86661,4840.060067,11968.16157,32417.65789,33314.47702,3682.049481,844.1369672,235.939,32.39166667,48.74833333,89.22533333,10.031,37.32133333,7.525333333,1.512,6.549666667,0.959333333,6.213,1.198333333,3.511666667,0.502666667,3.345666667,0.481666667
276595.9111,90299.5316,45472.33326,11670.2339,35777.20873,30544.76981,20491.59397,7160.462215,1070.547705,576.5753333,23.028,32.75733333,62.11166667,7.030666667,27.52033333,5.680666667,1.519,5.145666667,0.706333333,4.410333333,0.834333333,2.313333333,0.364,2.427,0.316666667
281885.3597,85828.88087,41819.00051,10629.85529,31145.10965,29858.91218,23900.90918,6573.627155,834.2611763,469.905,25.29333333,35.65833333,66.548,7.483666667,29.54166667,6.136666667,1.48,5.395,0.771666667,5.142333333,0.942333333,2.591333333,0.383,2.497,0.353666667
282191.4514,89008.88191,41974.46148,12042.65052,34911.41629,28104.78022,19747.42321,6688.503603,909.7617269,532.903,22.979,30.189,57.949,6.974666667,26.957,5.419666667,1.412,5.173,0.691333333,4.636,0.873666667,2.363666667,0.391333333,2.335333333,0.365333333
347677.9393,68953.73189,7462.126484,475.0831734,6404.659711,26373.28183,39403.87599,295.1085974,152.5331177,88.65933333,17.304,14.49733333,29.353,2.963333333,11.09333333,2.938333333,0.279333333,2.804,0.408666667,3.086666667,0.586333333,1.803666667,0.305666667,2.254666667,0.272
310031.0326,83129.25528,32957.72531,4123.399785,19122.51998,31170.91293,29533.37267,3385.426638,383.7345112,296.7783333,29.284,47.56533333,93.72733333,9.509,36.58533333,6.977666667,1.634666667,5.677,0.870666667,5.291333333,1.047,2.878,0.447333333,3.195666667,0.475
325107.5882,76230.61888,19821.27347,3080.920902,10954.10273,28571.99626,35561.16158,2119.883057,152.1814442,228.9973333,25.23033333,37.687,70.05166667,7.226666667,28.23166667,5.548,0.914333333,4.677333333,0.715333333,4.487333333,0.949,2.677333333,0.427666667,2.877333333,0.403
244767.5572,81800.78904,61484.81301,33701.24383,49857.13783,25696.20422,16592.15939,8141.11108,1277.399872,460.372,25.27733333,27.54933333,53.308,5.9,24.865,5.289,1.127,4.941,0.74,4.960666667,0.935333333,2.646333333,0.37,2.443333333,0.367666667
313087.9098,83304.05911,25495.59882,10854.64614,28230.28528,28190.58409,24987.44809,2876.845909,619.5661082,542.0956667,12.32933333,36.74066667,63.39833333,6.045666667,20.255,3.073,0.768333333,2.309666667,0.353,2.000333333,0.405,1.215,0.194,1.483333333,0.218333333
246478.4336,98916.95455,58453.32413,25508.41844,60248.43163,28413.14133,10293.83243,7671.589091,1239.132216,574.976,22.826,32.187,62.528,7.301333333,28.313,5.419666667,1.424333333,4.707,0.649666667,3.852666667,0.827666667,2.131333333,0.323666667,2.046666667,0.318333333
289856.3943,87326.36437,34590.06547,18392.59485,38093.01786,25890.82592,23742.22642,3955.663125,619.5661082,1127.329333,13.49666667,28.48133333,59.14366667,6.921,27.52033333,4.912,1.221666667,3.557,0.451333333,2.504,0.492,1.289333333,0.199666667,1.444,0.189333333
213991.7067,36835.84824,68791.47853,134959.4337,75471.34496,8531.360975,3403.605886,4195.400284,1239.132216,246.068,10.66366667,7.281333333,15.475,1.954,9.071666667,2.387,0.614666667,1.957666667,0.354333333,1.911333333,0.363,1.057333333,0.146666667,0.968333333,0.132
281582.7962,87643.91479,45316.8723,20382.61331,40237.09016,24703.85395,17101.04421,4674.874602,774.4576352,470.7256667,16.92966667,30.46566667,59.31566667,6.362,23.374,4.217666667,1.133333333,3.433333333,0.512,3.060333333,0.632,1.639,0.245333333,1.853,0.218333333
326129.3441,80128.55495,20676.3088,2653.357946,1500.85061,39095.88899,32956.86675,2457.305881,387.2288176,111.974,39.41333333,47.851,94.05233333,9.945333333,37.549,7.318,1.150333333,6.333666667,0.967666667,6.567666667,1.337,4.255,0.697333333,4.658333333,0.722666667
264334.4476,89549.21729,59308.35945,22975.66767,50600.10628,21736.42405,16851.99987,6233.166136,1316.57798,299.43,23.52633333,21.63933333,47.316,5.474666667,21.654,4.957666667,1.117333333,4.513333333,0.642666667,4.212333333,0.901,2.362666667,0.374666667,2.452333333,0.395333333
312293.2705,81398.75661,27672.05238,8502.806145,27372.65636,25000.59694,26398.69931,2577.17446,542.1203446,387.2693333,11.875,21.70366667,38.72966667,3.958333333,14.43833333,2.775666667,0.800666667,2.156333333,0.342666667,2.055,0.383333333,1.157333333,0.201666667,1.614333333,0.216666667
239217.3832,97785.87316,67392.32981,28893.00192,68414.00931,20289.87187,7291.994713,7059.364954,1314.179996,403.9953333,17.77133333,12.89766667,29.07033333,3.602333333,15.61166667,3.738,1.173333333,3.549333333,0.512333333,3.185,0.631333333,1.825333333,0.261666667,1.941666667,0.261333333
258761.6707,91900.08355,63583.53609,21635.27184,51066.20683,21606.65382,14975.37249,6281.71019,1248.782609,410.05,25.994,25.225,53.857,6.163,26.169,5.384,1.37,4.779,0.769,5.054,0.901,2.721,0.387,2.675,0.41
234752.8441,93969.9384,84881.68876,31221.40761,68994.42132,15675.51089,6068.719166,9243.040487,1628.679884,391.6666667,20.56666667,14.23333333,32.6,4.11,18.16666667,4.146666667,1.336666667,4.03,0.621333333,3.813333333,0.779666667,2.126666667,0.299666667,2.046666667,0.317333333
232678.4049,92196.55376,87990.90813,31027.95936,65207.80968,16940.11316,7201.699722,9562.153103,1544.500343,379.6666667,19.66666667,13.3,28.46666667,3.446666667,14.9,3.47,1.296666667,3.333333333,0.529333333,3.66,0.770666667,2.12,0.297666667,2.21,0.338
